Subject: [febio-test] Cron FEBio2 test: winxp
From: rawlins@sci.utah.edu
Date: 12/6/2012 7:00 AM
To: febio-test@sci.utah.edu
  
host = winxp
opsys = x86
['pardiso', 'bp04', 'Normal', 400, 668, 1068, 400, 568064L, 0L, 0, 0]
['pardiso', 'bp10', 'Normal', 10, 37, 52, 37, 159656L, 0L, 0, 0]
['pardiso', 'bp11', 'Normal', 28, 76, 104, 76, 75124L, 0L, 0, 0]
['pardiso', 'bp12', 'Normal', 28, 84, 112, 84, 75124L, 0L, 0, 0]
['pardiso', 'bp13', 'Normal', 28, 73, 101, 73, 75200L, 0L, 0, 0]
['pardiso', 'bp14', 'Normal', 28, 98, 160, 98, 75200L, 0L, 0, 0]
['pardiso', 'bp15', 'Normal', 84, 279, 383, 279, 402732L, 0L, 0, 0]
['pardiso', 'bp16', 'Normal', 65, 193, 259, 193, 318568L, 0L, 0, 0]
['pardiso', 'bp17', 'Normal', 36, 238, 361, 238, 2617160L, 0L, 0, 0]
['pardiso', 'bp18', 'Normal', 400, 837, 1237, 400, 568064L, 0L, 0, 0]
['pardiso', 'bp19', 'Normal', 62, 196, 258, 62, 7864432L, 0L, 0, 0]
['pardiso', 'bs01', 'Normal', 28, 28, 56, 28, 97508L, 0L, 0, 0]
['pardiso', 'bs04', 'Normal', 105, 200, 305, 200, 2876768L, 0L, 0, 0]
['pardiso', 'bs05', 'Normal', 71, 203, 277, 203, 463420L, 0L, 0, 0]
['pardiso', 'co01', 'Normal', 10, 20, 30, 10, 4912L, 0L, 0, 0]
['pardiso', 'co02', 'Normal', 6, 31, 44, 7, 41628L, 0L, 0, 0]
['pardiso', 'co04', 'Normal', 40, 334, 425, 46, 1126904L, 0L, 0, 0]
['pardiso', 'co07', 'Normal', 40, 201, 335, 201, 2312216L, 0L, 0, 0]
['pardiso', 'co08', 'Normal', 12, 105, 190, 18, 37588L, 0L, 0, 0]
['pardiso', 'co09', 'Normal', 11, 71, 118, 13, 285588L, 0L, 0, 0]
['pardiso', 'co10', 'Normal', 10, 48, 74, 10, 261724L, 0L, 0, 0]
